epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8081,1.47517,1.77323,1.45729,0.60812,0.64957,0.70088,0.42998,1.84585,2.16786,2.05376,0.000369047,0.000369047,0.0671515
2,72.4377,1.36227,1.25036,1.376,0.82868,0.81491,0.87935,0.53365,1.47386,1.21839,1.47521,0.000732061,0.000732061,0.0341811
3,107.164,1.32207,1.16498,1.35391,0.65482,0.71602,0.80553,0.50376,1.48525,1.41692,1.47351,0.00108774,0.00108774,0.00120348
4,139.827,1.29855,1.11358,1.33937,0.82489,0.80624,0.88473,0.5744,1.38788,1.1928,1.3988,0.001078,0.001078,0.001078
5,176.282,1.25174,1.03056,1.30588,0.84361,0.87915,0.89884,0.60744,1.33418,1.15437,1.38486,0.001067,0.001067,0.001067
6,210.888,1.20749,0.98965,1.28031,0.87477,0.84631,0.90722,0.60205,1.37122,0.96848,1.41042,0.00105601,0.00105601,0.00105601
7,244.887,1.2003,0.98724,1.28699,0.89561,0.88482,0.93989,0.64814,1.28326,0.95301,1.32286,0.00104501,0.00104501,0.00104501
8,278.046,1.16956,0.9338,1.26,0.73887,0.74495,0.80126,0.55615,1.46509,1.64819,1.48869,0.00103401,0.00103401,0.00103401
9,311.959,1.15283,0.90228,1.24388,0.89535,0.88843,0.95042,0.67333,1.22549,0.91857,1.30101,0.00102301,0.00102301,0.00102301
10,345.642,1.14688,0.89721,1.24524,0.89651,0.91731,0.95901,0.68268,1.20599,0.84627,1.27987,0.00101201,0.00101201,0.00101201
11,379.301,1.1285,0.88522,1.24133,0.91646,0.91294,0.96004,0.68112,1.22616,0.79792,1.28942,0.00100101,0.00100101,0.00100101
12,415.372,1.11906,0.86999,1.23026,0.72179,0.89946,0.89777,0.63556,1.21395,0.96297,1.29522,0.000990012,0.000990012,0.000990012
13,449.24,1.10093,0.8499,1.22754,0.91737,0.91918,0.96443,0.70559,1.21192,0.79104,1.26761,0.000979013,0.000979013,0.000979013
14,483.385,1.09059,0.84639,1.21713,0.89684,0.91159,0.95385,0.70128,1.19532,0.86452,1.24748,0.000968014,0.000968014,0.000968014
15,516.118,1.07632,0.82037,1.20707,0.89968,0.91636,0.96262,0.68385,1.24062,0.80184,1.27385,0.000957015,0.000957015,0.000957015
16,548.707,1.06916,0.81742,1.20742,0.92023,0.91779,0.96431,0.70811,1.182,0.80584,1.24869,0.000946016,0.000946016,0.000946016
17,581.387,1.06981,0.82049,1.20403,0.87652,0.91139,0.95781,0.70723,1.17093,0.79422,1.25482,0.000935018,0.000935018,0.000935018
18,613.488,1.06422,0.80734,1.19969,0.90861,0.92105,0.95846,0.69922,1.14481,0.85655,1.22389,0.000924019,0.000924019,0.000924019
19,648.852,1.05523,0.79551,1.19342,0.93705,0.92095,0.9649,0.71778,1.16979,0.77889,1.25292,0.00091302,0.00091302,0.00091302
20,682.217,1.04468,0.79862,1.18954,0.91537,0.9154,0.96125,0.71203,1.14538,0.83328,1.22733,0.000902021,0.000902021,0.000902021
21,715.967,1.04219,0.77171,1.18304,0.87176,0.92122,0.95629,0.70663,1.15089,0.83057,1.22456,0.000891022,0.000891022,0.000891022
22,749.067,1.04274,0.78181,1.18665,0.8928,0.93229,0.96528,0.70638,1.15407,0.80177,1.23604,0.000880023,0.000880023,0.000880023
23,782.859,1.02763,0.77081,1.17511,0.90909,0.94075,0.97008,0.73693,1.09401,0.77021,1.18238,0.000869024,0.000869024,0.000869024
24,817.408,1.02058,0.77319,1.17997,0.91782,0.93829,0.97058,0.72519,1.12627,0.77134,1.20917,0.000858025,0.000858025,0.000858025
25,851.514,1.02487,0.77837,1.18339,0.90972,0.93945,0.96765,0.72116,1.10896,0.78674,1.19958,0.000847026,0.000847026,0.000847026
26,885.04,0.99896,0.75543,1.16369,0.92281,0.93967,0.97295,0.73176,1.14375,0.7473,1.21644,0.000836027,0.000836027,0.000836027
27,918.259,1.00737,0.75206,1.16437,0.9261,0.94512,0.97063,0.73665,1.13881,0.713,1.22049,0.000825029,0.000825029,0.000825029
28,951.873,0.99799,0.75625,1.16812,0.93265,0.92902,0.97362,0.73337,1.13972,0.69626,1.20744,0.00081403,0.00081403,0.00081403
29,986.724,0.99966,0.74266,1.1622,0.94547,0.94148,0.97226,0.72435,1.11989,0.73098,1.19756,0.000803031,0.000803031,0.000803031
30,1019.13,0.98864,0.74633,1.16243,0.94203,0.92556,0.97154,0.73264,1.1447,0.73956,1.20749,0.000792032,0.000792032,0.000792032
31,1052.49,0.97076,0.73377,1.15517,0.93863,0.93676,0.96969,0.73439,1.0959,0.73791,1.1936,0.000781033,0.000781033,0.000781033
32,1087.54,0.9946,0.73168,1.16606,0.91644,0.94309,0.97124,0.73167,1.10164,0.75075,1.18381,0.000770034,0.000770034,0.000770034
33,1122.81,0.98434,0.74222,1.15912,0.92393,0.93779,0.96976,0.74177,1.09423,0.71907,1.18198,0.000759035,0.000759035,0.000759035
34,1158.37,0.97575,0.71963,1.15179,0.94648,0.93987,0.97264,0.73502,1.11991,0.7155,1.19774,0.000748036,0.000748036,0.000748036
35,1192.88,0.96782,0.71904,1.14598,0.91751,0.94205,0.96976,0.73909,1.09893,0.70052,1.18851,0.000737037,0.000737037,0.000737037
36,1227.7,0.96417,0.71948,1.1441,0.9176,0.94996,0.97272,0.75099,1.07299,0.70525,1.16019,0.000726038,0.000726038,0.000726038
37,1259.7,0.95677,0.7123,1.14584,0.93587,0.94748,0.97136,0.74219,1.08703,0.69682,1.18519,0.00071504,0.00071504,0.00071504
38,1293.5,0.95169,0.69745,1.13845,0.9076,0.94718,0.97088,0.74474,1.08279,0.71176,1.17798,0.000704041,0.000704041,0.000704041
39,1328.23,0.95261,0.71342,1.14103,0.93072,0.94529,0.97249,0.74732,1.06576,0.70061,1.16654,0.000693042,0.000693042,0.000693042
40,1360.91,0.94698,0.69823,1.14117,0.9389,0.94139,0.97449,0.75055,1.07454,0.70729,1.17083,0.000682043,0.000682043,0.000682043
41,1395.17,0.94256,0.69522,1.13579,0.93479,0.94174,0.96957,0.74618,1.06049,0.74477,1.16925,0.000671044,0.000671044,0.000671044
42,1429.38,0.9433,0.70115,1.13046,0.935,0.93918,0.97095,0.74922,1.06336,0.72216,1.16378,0.000660045,0.000660045,0.000660045
43,1463.35,0.92733,0.6905,1.13111,0.9384,0.94729,0.97524,0.74953,1.06608,0.71545,1.16509,0.000649046,0.000649046,0.000649046
44,1498.78,0.92627,0.68232,1.1233,0.9332,0.95711,0.97436,0.73951,1.08456,0.6961,1.1718,0.000638047,0.000638047,0.000638047
45,1533.4,0.93273,0.68844,1.1223,0.92821,0.94792,0.97166,0.75097,1.05658,0.70336,1.15509,0.000627048,0.000627048,0.000627048
46,1568.46,0.92844,0.67934,1.12373,0.93773,0.95182,0.97316,0.75119,1.0612,0.70924,1.16198,0.000616049,0.000616049,0.000616049
47,1602.51,0.91693,0.67406,1.12305,0.9231,0.94426,0.97181,0.75367,1.0667,0.68038,1.162,0.000605051,0.000605051,0.000605051
48,1639.49,0.94244,0.69096,1.13403,0.93108,0.93761,0.9725,0.7551,1.038,0.71796,1.152,0.000594052,0.000594052,0.000594052
49,1673.18,0.92495,0.67952,1.12646,0.91545,0.94278,0.96996,0.75287,1.03762,0.72574,1.14611,0.000583053,0.000583053,0.000583053
50,1706.23,0.91655,0.67579,1.12075,0.93529,0.95521,0.97544,0.75933,1.05427,0.68057,1.15406,0.000572054,0.000572054,0.000572054
51,1738.93,0.91763,0.66581,1.11977,0.91977,0.93633,0.96854,0.74695,1.02993,0.71571,1.14125,0.000561055,0.000561055,0.000561055
52,1771.45,0.9117,0.66907,1.12224,0.92519,0.94925,0.97161,0.75881,1.05105,0.68313,1.14781,0.000550056,0.000550056,0.000550056
53,1803.34,0.91405,0.66147,1.11765,0.92695,0.94409,0.96868,0.75639,1.02562,0.70709,1.12802,0.000539057,0.000539057,0.000539057
54,1836.41,0.90812,0.6637,1.11697,0.93527,0.93331,0.9665,0.75951,1.0029,0.70288,1.12101,0.000528058,0.000528058,0.000528058
55,1870.97,0.89824,0.67002,1.11393,0.94271,0.94507,0.97039,0.7618,1.03375,0.6874,1.13833,0.000517059,0.000517059,0.000517059
56,1904.04,0.90062,0.66246,1.11286,0.93177,0.94376,0.96654,0.76063,1.02322,0.70042,1.13136,0.00050606,0.00050606,0.00050606
57,1937.26,0.89541,0.65297,1.10479,0.92752,0.94099,0.97068,0.76308,1.02878,0.68046,1.1377,0.000495062,0.000495062,0.000495062
58,1971.58,0.88996,0.65598,1.10378,0.91805,0.95176,0.9709,0.76142,1.02059,0.69504,1.12999,0.000484063,0.000484063,0.000484063
59,2005.87,0.88704,0.65515,1.09753,0.94863,0.94332,0.97183,0.76348,1.01733,0.69788,1.1217,0.000473064,0.000473064,0.000473064
