epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.927,0.8128,0.58499,1.05918,0.86576,0.9497,0.95939,0.65183,0.97631,0.63848,1.09997,3e-05,3e-05,3e-05
2,337.374,0.80556,0.58192,1.06057,0.85891,0.9383,0.95907,0.65424,0.97946,0.64185,1.10248,2.865e-05,2.865e-05,2.865e-05
3,504.114,0.80051,0.57697,1.05684,0.85694,0.94425,0.96014,0.65683,0.97829,0.6381,1.10009,2.73e-05,2.73e-05,2.73e-05
4,687.004,0.80449,0.58041,1.05751,0.85235,0.94792,0.9593,0.65685,0.97617,0.64532,1.09929,2.595e-05,2.595e-05,2.595e-05
5,852.942,0.80214,0.57287,1.05284,0.85937,0.94284,0.96159,0.65746,0.97524,0.63251,1.09986,2.46e-05,2.46e-05,2.46e-05
6,1026.2,0.79232,0.57399,1.04797,0.85587,0.94512,0.95991,0.65463,0.97527,0.64226,1.10061,2.325e-05,2.325e-05,2.325e-05
7,1191.96,0.79306,0.57448,1.05679,0.86494,0.94257,0.96105,0.65547,0.9728,0.63712,1.09754,2.19e-05,2.19e-05,2.19e-05
8,1371.64,0.79426,0.56951,1.05087,0.86364,0.93573,0.96033,0.65688,0.9793,0.63739,1.10201,2.055e-05,2.055e-05,2.055e-05
9,1539.8,0.79338,0.56508,1.04741,0.86098,0.94171,0.96093,0.65898,0.9733,0.63431,1.09781,1.92e-05,1.92e-05,1.92e-05
10,1708.28,0.79969,0.56986,1.05227,0.85814,0.93666,0.95877,0.65814,0.97324,0.63514,1.09818,1.785e-05,1.785e-05,1.785e-05
11,1874.84,0.74267,0.49397,1.03052,0.87335,0.91847,0.95801,0.65132,0.99249,0.63599,1.11236,1.65e-05,1.65e-05,1.65e-05
12,2043.37,0.7405,0.48804,1.03281,0.8533,0.93646,0.95741,0.65144,0.98697,0.63954,1.11403,1.515e-05,1.515e-05,1.515e-05
13,2217.61,0.74358,0.48816,1.03095,0.87254,0.92112,0.95901,0.65269,0.98714,0.63249,1.10879,1.38e-05,1.38e-05,1.38e-05
14,2392.89,0.74356,0.48819,1.03285,0.8671,0.92858,0.95868,0.65479,0.98582,0.63659,1.11039,1.245e-05,1.245e-05,1.245e-05
15,2564.14,0.73686,0.48535,1.0313,0.87296,0.92489,0.96014,0.65852,0.98099,0.635,1.10572,1.11e-05,1.11e-05,1.11e-05
16,2742.32,0.73854,0.48705,1.03212,0.8715,0.92584,0.95967,0.65185,0.98559,0.63775,1.10883,9.75e-06,9.75e-06,9.75e-06
17,2914.73,0.73698,0.48242,1.03502,0.86816,0.92953,0.9585,0.65319,0.98226,0.63767,1.1072,8.4e-06,8.4e-06,8.4e-06
18,3091.95,0.73608,0.48261,1.02754,0.86621,0.9342,0.96114,0.65158,0.98587,0.63783,1.10851,7.05e-06,7.05e-06,7.05e-06
19,3263.49,0.72553,0.48272,1.0279,0.87141,0.92253,0.96049,0.65459,0.98797,0.63616,1.11005,5.7e-06,5.7e-06,5.7e-06
20,3433.43,0.73011,0.48626,1.02627,0.87416,0.92506,0.96102,0.65715,0.98505,0.63889,1.10914,4.35e-06,4.35e-06,4.35e-06
