model,measurement_context,status,accuracy_source,accuracy_split,precision,recall,f1,map50,map50_95,inference_mean_ms,inference_p95_ms,end_to_end_mean_ms,effective_fps,inference_fps,process_cpu_mean_percent,process_cpu_p95_percent,rss_mean_mib,rss_peak_mib,frames_processed,exceptions,evidence
YOLO11n FP32 OpenVINO,"synthetic, 300 iterations",valid,"experiments/final_test/{fp32_test_metrics,qat_test_metrics}.json",test,0.9313469051335113,0.9505716686969364,0.9408610915046441,0.9642317504749923,0.7799081629168894,28.490634596666666,30.34956805,30.50351351666667,32.76649459185845,35.09925328644654,873.5066666666668,901.3,227.51979166666666,227.6328125,,,benchmark_fp32.json + benchmark_fp32.csv + resources_fp32.csv
YOLO11n FP32 OpenVINO,"C920 standalone, 60 s",valid; live accuracy not measured,,not evaluated,,,,,,37.067048908091124,60.078294199999995,47.144962398271794,21.203486426132297,26.978139060369507,716.1538461538462,818.1799999999998,229.2544941471572,229.828125,,,camera_benchmark.json + camera_benchmark.csv + resources_camera_benchmark.csv
YOLO11n FP32 OpenVINO ROS 2,"C920 ROS 2, 60 s",valid; live accuracy not measured,,not evaluated,,,,,,31.233807506877575,54.8266341,,24.22169637093031,32.016589709077365,705.1444444444444,863.92,262.19140625,262.19140625,1454,0,ros2_benchmark.json + ros2_benchmark.csv + resources_ros2_benchmark.csv
YOLO11n FP32 OpenVINO ROS 2,"C920 ROS 2, 600 s",stability completed; live accuracy not measured,,not evaluated,,,,,,31.49684191290211,55.02205539999996,,24.09054745765394,31.74921481859323,705.4331540013451,857.275,262.39052648999666,262.39453125,14455,0,stability_test.json + stability_test.csv + resources_stability_test.csv
YOLO11n true QAT native PyTorch,held-out TEST metrics; no OP3 hardware inference,dataset metrics valid; OpenVINO hardware blocked,"experiments/final_test/{fp32_test_metrics,qat_test_metrics}.json",test,0.8541507232570217,0.9375203043384985,0.8938958477143529,0.9511866596240314,0.6567029302913939,,,,,,,,,,,,qat_test_metrics.json; not an OpenVINO deployment result
YOLO11n QAT INT8 OpenVINO,hardware benchmark not run,BLOCKED — QAT OpenVINO artifact has not passed export/equivalence validation,,not evaluated,,,,,,,,,,,,,,,,,model_inventory.json gate
YOLO11n FP32 native PyTorch,"synthetic, 300 iterations",valid; no live accuracy,experiments/final_test/fp32_test_metrics.json,test (checkpoint evaluation),0.9313469051335113,0.9505716686969364,0.9408610915046441,0.9642317504749923,0.7799081629168894,49.4837844500095,53.52711214964074,51.65119968999999,19.34998458752443,20.20864028720843,800.2454545454545,804.8000000000001,360.7107853084416,377.23828125,300,0,benchmark_fp32_pytorch.json + benchmark_fp32_pytorch.csv + resources_fp32_pytorch.csv
YOLO11n FP32 native PyTorch,"C920 standalone, 60 s",valid; live accuracy not measured,,live camera; no ground truth,,,,,,39.50187669457386,44.67356899949664,50.17931724769875,19.91462860788977,25.315252936763994,719.6906040268456,781.115,358.02965079697987,373.57421875,1195,0,camera_benchmark_fp32_pytorch.json + camera_benchmark_fp32_pytorch.csv + resources_camera_benchmark_fp32_pytorch.csv
YOLO11n existing PTQ INT8 OpenVINO,"synthetic, 300 iterations",valid comparator; VAL metrics only,experiments/ptq/ptq_val_metrics.json,val,0.9341156433830985,0.9502079198462958,0.9420930669398871,0.972145259145894,0.76717861970828,11.27562573,11.6163351,13.041003686666667,76.59773716726609,88.68687414299268,340.4368421052631,343.81,215.95456414473685,216.0390625,300,0,benchmark_ptq_int8.json + benchmark_ptq_int8.csv + resources_benchmark_ptq_int8.csv
YOLO11n existing PTQ INT8 OpenVINO,"C920 standalone, 60 s",valid comparator; live accuracy not measured,,live camera; no ground truth,,,,,,12.377040863384188,15.07565365,41.597179511789186,24.03122549446715,80.79475627800225,128.39026845637585,154.23,217.86632235738256,218.4765625,1442,0,camera_benchmark_ptq_int8.json + camera_benchmark_ptq_int8.csv + resources_camera_benchmark_ptq_int8.csv
YOLO11n existing PTQ INT8 OpenVINO ROS 2,"C920 ROS 2, 60 s",valid comparator; live accuracy not measured,,live camera; no ground truth,,,,,,11.865224511597937,12.971322,16.718104269329896,12.93222786623496,84.27990545164374,75.36148648648648,158.82500000000002,241.49330922719594,249.12109375,776,0,ros2_benchmark_ptq_int8.json + ros2_benchmark_ptq_int8.csv + resources_ros2_benchmark_ptq_int8.csv
